N (kg/ha),P(kg/ha),K(kg/ha),pH,Humidity(%),Temperature(°C),Rainfall(mm),Crop Yield(kg/ha),District,Soil Type,Crop Name
134,73,94,6.3,82,34,2160,2100,Alipurduar,Alluvial Soil,Potato
115,60,80,5.8,75,28,2000,1800,Alipurduar,Alluvial Soil,Potato
120,63,85,5.9,77,29,2040,1900,Alipurduar,Alluvial Soil,Potato
116,61,81,5.7,74,27,1975,1810,Alipurduar,Alluvial Soil,Potato
122,64,87,6,78,30,2035,1925,Alipurduar,Alluvial Soil,Potato
118,62,83,5.8,76,28,1995,1860,Alipurduar,Alluvial Soil,Potato
124,66,89,6,79,30,2055,1940,Alipurduar,Alluvial Soil,Potato
119,63,85,5.9,77,29,2010,1885,Alipurduar,Alluvial Soil,Potato
125,65,88,6.1,80,31,2060,1960,Alipurduar,Alluvial Soil,Potato
121,62,84,5.8,76,28,2020,1905,Alipurduar,Alluvial Soil,Potato
117,59,79,5.6,73,26,1980,1805,Alipurduar,Alluvial Soil,Potato
123,66,86,6,78,30,2045,1925,Alipurduar,Alluvial Soil,Potato
113,58,78,5.7,74,27,1955,1775,Alipurduar,Alluvial Soil,Potato
129,67,91,6.1,80,31,2095,1985,Alipurduar,Alluvial Soil,Potato
135,74,95,6.3,83,35,2170,2125,Alipurduar,Alluvial Soil,Potato
110,55,75,5.6,72,26,1945,1720,Alipurduar,Alluvial Soil,Potato
126,66,88,6,79,30,2070,1955,Alipurduar,Alluvial Soil,Potato
114,57,77,5.6,72,26,1965,1785,Alipurduar,Alluvial Soil,Potato
130,68,92,6.1,80,31,2100,1990,Alipurduar,Alluvial Soil,Potato
136,75,96,6.4,84,36,2180,2150,Alipurduar,Alluvial Soil,Potato
111,57,76,5.5,71,25,1935,1710,Alipurduar,Alluvial Soil,Potato
127,67,89,6,79,30,2085,1965,Alipurduar,Alluvial Soil,Potato
115,59,79,5.8,75,28,2005,1820,Alipurduar,Alluvial Soil,Potato
131,69,93,6.1,80,31,2110,2005,Alipurduar,Alluvial Soil,Potato
137,76,97,6.5,85,37,2190,2175,Alipurduar,Alluvial Soil,Potato
112,58,78,5.6,72,26,1970,1730,Alipurduar,Alluvial Soil,Potato
128,69,90,6.1,80,31,2090,1970,Alipurduar,Alluvial Soil,Potato
116,60,80,5.7,74,27,1985,1795,Alipurduar,Alluvial Soil,Potato
132,70,94,6.2,81,32,2125,2020,Alipurduar,Alluvial Soil,Potato
138,77,98,6.6,86,38,2200,2200,Alipurduar,Alluvial Soil,Potato
78,36,46,5.2,69,23,1680,1420,Alipurduar,Alluvial Soil,Oilseeds
85,40,52,5.3,71,24,1800,1580,Alipurduar,Alluvial Soil,Oilseeds
90,44,58,5.5,72,26,1650,1500,Alipurduar,Alluvial Soil,Oilseeds
75,32,42,5.1,70,25,1700,1380,Alipurduar,Alluvial Soil,Oilseeds
80,38,50,5.4,74,27,1750,1460,Alipurduar,Alluvial Soil,Oilseeds
82,37,48,5.3,73,24,1720,1440,Alipurduar,Alluvial Soil,Oilseeds
88,41,54,5.6,75,28,1820,1620,Alipurduar,Alluvial Soil,Oilseeds
83,39,51,5.4,74,25,1730,1480,Alipurduar,Alluvial Soil,Oilseeds
87,42,53,5.5,75,26,1810,1600,Alipurduar,Alluvial Soil,Oilseeds
79,35,45,5.2,69,23,1670,1400,Alipurduar,Alluvial Soil,Oilseeds
84,40,50,5.4,74,26,1790,1540,Alipurduar,Alluvial Soil,Oilseeds
86,41,52,5.5,75,27,1830,1630,Alipurduar,Alluvial Soil,Oilseeds
81,37,49,5.3,72,24,1740,1450,Alipurduar,Alluvial Soil,Oilseeds
89,43,56,5.6,76,28,1800,1590,Alipurduar,Alluvial Soil,Oilseeds
77,34,44,5.1,68,22,1660,1380,Alipurduar,Alluvial Soil,Oilseeds
91,45,60,5.7,76,29,1840,1650,Alipurduar,Alluvial Soil,Oilseeds
76,33,43,5,68,22,1690,1360,Alipurduar,Alluvial Soil,Oilseeds
92,46,61,5.8,77,30,1850,1680,Alipurduar,Alluvial Soil,Oilseeds
93,47,62,5.9,78,31,1860,1700,Alipurduar,Alluvial Soil,Oilseeds
94,48,63,6,79,32,1870,1720,Alipurduar,Alluvial Soil,Oilseeds
95,49,64,6.1,80,33,1880,1740,Alipurduar,Alluvial Soil,Oilseeds
96,50,65,6.2,81,34,1890,1760,Alipurduar,Alluvial Soil,Oilseeds
97,51,66,6.3,82,35,1900,1780,Alipurduar,Alluvial Soil,Oilseeds
98,52,67,6.4,83,36,1910,1800,Alipurduar,Alluvial Soil,Oilseeds
99,53,68,6.5,84,37,1920,1820,Alipurduar,Alluvial Soil,Oilseeds
100,54,69,6.6,85,38,1930,1840,Alipurduar,Alluvial Soil,Oilseeds
101,55,70,6.7,86,39,1940,1860,Alipurduar,Alluvial Soil,Oilseeds
102,56,71,6.8,87,40,1950,1880,Alipurduar,Alluvial Soil,Oilseeds
103,57,72,6.9,88,41,1960,1900,Alipurduar,Alluvial Soil,Oilseeds
104,58,73,7,89,42,1970,1920,Alipurduar,Alluvial Soil,Oilseeds
105,59,74,7.1,90,43,1980,1940,Alipurduar,Alluvial Soil,Oilseeds
106,60,75,7.2,91,44,1990,1960,Alipurduar,Alluvial Soil,Oilseeds
107,61,76,7.3,92,45,2000,1980,Alipurduar,Alluvial Soil,Oilseeds
108,62,77,7.4,93,46,2010,2000,Alipurduar,Alluvial Soil,Oilseeds
109,63,78,7.5,94,47,2020,2020,Alipurduar,Alluvial Soil,Oilseeds
110,64,79,7.6,95,48,2030,2040,Alipurduar,Alluvial Soil,Oilseeds
111,65,80,7.7,96,49,2040,2060,Alipurduar,Alluvial Soil,Oilseeds
112,66,81,7.8,97,50,2050,2080,Alipurduar,Alluvial Soil,Oilseeds
113,67,82,7.9,98,51,2060,2100,Alipurduar,Alluvial Soil,Oilseeds
114,68,83,8,99,52,2070,2120,Alipurduar,Alluvial Soil,Oilseeds
115,69,84,8.1,100,53,2080,2140,Alipurduar,Alluvial Soil,Oilseeds
116,70,85,8.2,101,54,2090,2160,Alipurduar,Alluvial Soil,Oilseeds
117,71,86,8.3,102,55,2100,2180,Alipurduar,Alluvial Soil,Oilseeds
118,72,87,8.4,103,56,2110,2200,Alipurduar,Alluvial Soil,Oilseeds
119,73,88,8.5,104,57,2120,2220,Alipurduar,Alluvial Soil,Oilseeds
120,74,89,8.6,105,58,2130,2240,Alipurduar,Alluvial Soil,Oilseeds
95,48,60,5.5,74,26,1920,1720,Alipurduar,Alluvial Soil,Tobacco
90,45,58,5.3,72,25,1880,1620,Alipurduar,Alluvial Soil,Tobacco
100,50,65,5.8,76,27,1850,1600,Alipurduar,Alluvial Soil,Tobacco
85,42,55,5.2,70,24,1750,1500,Alipurduar,Alluvial Soil,Tobacco
105,52,68,5.7,75,28,1980,1800,Alipurduar,Alluvial Soil,Tobacco
88,44,57,5.4,73,26,1820,1560,Alipurduar,Alluvial Soil,Tobacco
92,46,59,5.6,75,27,1860,1650,Alipurduar,Alluvial Soil,Tobacco
98,49,63,5.9,77,29,1920,1700,Alipurduar,Alluvial Soil,Tobacco
82,41,54,5.1,69,23,1720,1440,Alipurduar,Alluvial Soil,Tobacco
110,55,70,6,78,30,2000,1850,Alipurduar,Alluvial Soil,Tobacco
86,43,56,5.3,71,24,1760,1520,Alipurduar,Alluvial Soil,Tobacco
93,47,60,5.7,75,28,1880,1680,Alipurduar,Alluvial Soil,Tobacco
96,48,62,5.6,74,26,1900,1700,Alipurduar,Alluvial Soil,Tobacco
102,51,66,5.8,76,27,1950,1750,Alipurduar,Alluvial Soil,Tobacco
80,40,52,5,68,22,1700,1400,Alipurduar,Alluvial Soil,Tobacco
108,54,69,5.9,77,29,1980,1820,Alipurduar,Alluvial Soil,Tobacco
94,47,61,5.8,76,27,1920,1720,Alipurduar,Alluvial Soil,Tobacco
100,50,64,5.9,77,29,1960,1740,Alipurduar,Alluvial Soil,Tobacco
104,52,67,5.8,76,27,1940,1760,Alipurduar,Alluvial Soil,Tobacco
88,44,58,5.3,72,25,1800,1580,Alipurduar,Alluvial Soil,Tobacco
90,45,59,5.4,73,26,1820,1600,Alipurduar,Alluvial Soil,Tobacco
98,49,64,5.9,77,29,1960,1740,Alipurduar,Alluvial Soil,Tobacco
102,51,65,5.8,76,27,1940,1760,Alipurduar,Alluvial Soil,Tobacco
84,42,55,5.2,70,24,1780,1540,Alipurduar,Alluvial Soil,Tobacco
106,53,68,5.7,75,28,1960,1780,Alipurduar,Alluvial Soil,Tobacco
110,55,71,6,78,30,2000,1800,Alipurduar,Alluvial Soil,Tobacco
92,46,60,5.6,74,26,1860,1660,Alipurduar,Alluvial Soil,Tobacco
96,48,63,5.6,74,26,1900,1700,Alipurduar,Alluvial Soil,Tobacco
88,44,57,5.3,72,25,1800,1580,Alipurduar,Alluvial Soil,Tobacco
94,47,62,5.7,75,28,1920,1720,Alipurduar,Alluvial Soil,Tobacco
100,50,64,5.9,77,29,1960,1740,Alipurduar,Alluvial Soil,Tobacco
86,43,56,5.3,71,24,1760,1520,Alipurduar,Alluvial Soil,Tobacco
98,49,63,5.9,77,29,1920,1700,Alipurduar,Alluvial Soil,Tobacco
104,52,66,5.8,76,27,1940,1760,Alipurduar,Alluvial Soil,Tobacco
82,41,54,5.1,69,23,1720,1440,Alipurduar,Alluvial Soil,Tobacco
108,54,70,5.9,77,29,1980,1820,Alipurduar,Alluvial Soil,Tobacco
114,57,74,6.2,80,32,2040,1880,Alipurduar,Alluvial Soil,Tobacco
118,59,76,6.5,83,35,2080,1920,Alipurduar,Alluvial Soil,Tobacco
112,56,72,6.3,81,33,2060,1900,Alipurduar,Alluvial Soil,Tobacco
116,58,75,6.4,82,34,2080,1940,Alipurduar,Alluvial Soil,Tobacco
120,60,77,6.6,84,36,2100,1960,Alipurduar,Alluvial Soil,Tobacco
122,61,78,6.7,85,37,2120,1980,Alipurduar,Alluvial Soil,Tobacco
124,62,79,6.8,86,38,2140,2000,Alipurduar,Alluvial Soil,Tobacco
126,63,80,6.9,87,39,2160,2020,Alipurduar,Alluvial Soil,Tobacco
128,64,81,7,88,40,2180,2040,Alipurduar,Alluvial Soil,Tobacco
130,65,82,7.1,89,41,2200,2060,Alipurduar,Alluvial Soil,Tobacco
70,35,46,5,68,23,1850,1350,Alipurduar,Alluvial Soil,Jute
68,33,44,4.9,67,25,1800,1300,Alipurduar,Alluvial Soil,Jute
72,36,48,5.2,70,26,1950,1400,Alipurduar,Alluvial Soil,Jute
75,38,50,5.3,72,24,2000,1450,Alipurduar,Alluvial Soil,Jute
78,40,52,5.4,74,23,2050,1500,Alipurduar,Alluvial Soil,Jute
73,37,49,5.1,69,24,1900,1370,Alipurduar,Alluvial Soil,Jute
76,39,51,5.3,71,25,1950,1420,Alipurduar,Alluvial Soil,Jute
80,42,54,5.5,73,27,2100,1550,Alipurduar,Alluvial Soil,Jute
85,45,58,5.8,76,28,2200,1650,Alipurduar,Alluvial Soil,Jute
82,43,56,5.6,74,26,2150,1600,Alipurduar,Alluvial Soil,Jute
88,47,60,6,78,29,2250,1700,Alipurduar,Alluvial Soil,Jute
90,48,62,6.1,80,30,2300,1750,Alipurduar,Alluvial Soil,Jute
95,50,65,6.3,82,32,2350,1800,Alipurduar,Alluvial Soil,Jute
92,49,63,6.2,81,31,2320,1770,Alipurduar,Alluvial Soil,Jute
98,52,68,6.5,84,34,2400,1850,Alipurduar,Alluvial Soil,Jute
100,54,70,6.6,85,35,2450,1900,Alipurduar,Alluvial Soil,Jute
105,56,74,6.8,87,37,2550,2000,Alipurduar,Alluvial Soil,Jute
102,55,72,6.7,86,36,2500,1950,Alipurduar,Alluvial Soil,Jute
108,58,77,7,89,39,2650,2100,Alipurduar,Alluvial Soil,Jute
110,60,80,7.1,90,40,2700,2150,Alipurduar,Alluvial Soil,Jute
115,62,84,7.3,92,42,2800,2250,Alipurduar,Alluvial Soil,Jute
112,61,82,7.2,91,41,2750,2200,Alipurduar,Alluvial Soil,Jute
118,64,87,7.5,94,44,2900,2350,Alipurduar,Alluvial Soil,Jute
120,65,90,7.6,95,45,2950,2400,Alipurduar,Alluvial Soil,Jute
125,68,94,7.8,97,48,3100,2550,Alipurduar,Alluvial Soil,Jute
122,67,92,7.7,96,47,3050,2500,Alipurduar,Alluvial Soil,Jute
128,70,97,8,99,50,3200,2650,Alipurduar,Alluvial Soil,Jute
130,72,100,8.1,100,51,3250,2700,Alipurduar,Alluvial Soil,Jute
135,75,105,8.3,102,54,3400,2850,Alipurduar,Alluvial Soil,Jute
132,74,102,8.2,101,53,3350,2800,Alipurduar,Alluvial Soil,Jute
138,77,107,8.5,104,56,3500,2950,Alipurduar,Alluvial Soil,Jute
140,78,110,8.6,105,57,3550,3000,Alipurduar,Alluvial Soil,Jute
145,81,115,8.8,107,60,3700,3150,Alipurduar,Alluvial Soil,Jute
142,80,112,8.7,106,59,3650,3100,Alipurduar,Alluvial Soil,Jute
148,83,117,9,109,62,3800,3250,Alipurduar,Alluvial Soil,Jute
150,84,120,9.1,110,63,3850,3300,Alipurduar,Alluvial Soil,Jute
155,87,125,9.3,112,66,4000,3450,Alipurduar,Alluvial Soil,Jute
152,86,122,9.2,111,65,3950,3400,Alipurduar,Alluvial Soil,Jute
158,89,127,9.5,114,68,4100,3550,Alipurduar,Alluvial Soil,Jute
160,90,130,9.6,115,69,4150,3600,Alipurduar,Alluvial Soil,Jute
81,41,53,5.1,73,25,1580,1350,Alipurduar,Alluvial Soil,Tea
83,39,54,5.4,70,24.5,1700,1450,Alipurduar,Alluvial Soil,Tea
89,43,56,5.3,72.5,25.5,1750,1550,Alipurduar,Alluvial Soil,Tea
82,40,57,5.2,71.5,26.5,1600,1380,Alipurduar,Alluvial Soil,Tea
87,45,59,5.7,73.5,27.5,1850,1650,Alipurduar,Alluvial Soil,Tea
80,41,53,5.1,73,25,1570,1340,Alipurduar,Alluvial Soil,Tea
83,39,54,5.4,70,24.5,1710,1460,Alipurduar,Alluvial Soil,Tea
89,43,56,5.3,72.5,25.5,1740,1540,Alipurduar,Alluvial Soil,Tea
82,40,57,5.2,71.5,26.5,1590,1370,Alipurduar,Alluvial Soil,Tea
87,45,59,5.7,73.5,27.5,1860,1660,Alipurduar,Alluvial Soil,Tea
82,42,53,5.2,72,25,1590,1350,Alipurduar,Alluvial Soil,Tea
84,40,55,5.5,71,24.5,1720,1470,Alipurduar,Alluvial Soil,Tea
88,44,57,5.4,73,25.5,1760,1560,Alipurduar,Alluvial Soil,Tea
81,41,53,5.1,73,25,1560,1330,Alipurduar,Alluvial Soil,Tea
83,39,54,5.4,70,24.5,1720,1470,Alipurduar,Alluvial Soil,Tea
89,43,56,5.3,72.5,25.5,1730,1530,Alipurduar,Alluvial Soil,Tea
82,40,57,5.2,71.5,26.5,1600,1360,Alipurduar,Alluvial Soil,Tea
87,45,59,5.7,73.5,27.5,1870,1670,Alipurduar,Alluvial Soil,Tea
83,41,54,5.3,72,25,1600,1360,Alipurduar,Alluvial Soil,Tea
85,39,56,5.6,71,24.5,1730,1480,Alipurduar,Alluvial Soil,Tea
89,45,58,5.5,73,25.5,1770,1570,Alipurduar,Alluvial Soil,Tea
81,40,52,5.2,73,25,1570,1340,Alipurduar,Alluvial Soil,Tea
84,38,55,5.5,70,24.5,1700,1450,Alipurduar,Alluvial Soil,Tea
88,44,57,5.4,73,25.5,1760,1560,Alipurduar,Alluvial Soil,Tea
85,42,52,5.3,72,25,1620,1390,Alipurduar,Alluvial Soil,Tea
86,40,54,5.4,71.5,25.5,1680,1430,Alipurduar,Alluvial Soil,Tea
88,44,56,5.3,72.7,26,1710,1480,Alipurduar,Alluvial Soil,Tea
83,41,55,5.2,71.2,26.3,1630,1370,Alipurduar,Alluvial Soil,Tea
86,45,57,5.6,73,27,1770,1580,Alipurduar,Alluvial Soil,Tea
84,42,51,5.2,72,25.5,1600,1350,Alipurduar,Alluvial Soil,Tea
85,43,53,5.5,71.5,26,1650,1420,Alipurduar,Alluvial Soil,Tea
89,45,55,5.4,72.5,26.5,1690,1450,Alipurduar,Alluvial Soil,Tea
82,41,56,5.1,71.7,25.7,1660,1400,Alipurduar,Alluvial Soil,Tea
87,46,58,5.7,73.2,27.2,1800,1600,Alipurduar,Alluvial Soil,Tea
86,42,54,5.3,72,25.5,1620,1380,Alipurduar,Alluvial Soil,Tea
88,43,52,5.6,71.5,26,1670,1440,Alipurduar,Alluvial Soil,Tea
90,46,54,5.5,72.7,26.5,1720,1500,Alipurduar,Alluvial Soil,Tea
84,41,55,5.2,71.2,26.3,1640,1360,Alipurduar,Alluvial Soil,Tea
87,44,57,5.7,73,27,1780,1570,Alipurduar,Alluvial Soil,Tea
83,42,51,5.2,72,25.5,1610,1340,Alipurduar,Alluvial Soil,Tea
85,44,53,5.5,71.5,26,1660,1430,Alipurduar,Alluvial Soil,Tea
89,46,55,5.4,72.5,26.5,1700,1460,Alipurduar,Alluvial Soil,Tea
82,43,56,5.1,71.7,25.7,1670,1390,Alipurduar,Alluvial Soil,Tea
87,47,58,5.7,73.2,27.2,1810,1610,Alipurduar,Alluvial Soil,Tea
84,42,54,5.3,72,25.5,1630,1370,Alipurduar,Alluvial Soil,Tea
86,44,52,5.6,71.5,26,1680,1450,Alipurduar,Alluvial Soil,Tea
90,47,54,5.5,72.7,26.5,1730,1510,Alipurduar,Alluvial Soil,Tea
84,41,55,5.2,71.2,26.3,1650,1370,Alipurduar,Alluvial Soil,Tea
87,45,57,5.7,73,27,1790,1580,Alipurduar,Alluvial Soil,Tea
83,43,51,5.2,72,25.5,1620,1350,Alipurduar,Alluvial Soil,Tea
85,45,53,5.5,71.5,26,1670,1440,Alipurduar,Alluvial Soil,Tea
108,54,74,5.6,76,28,1930,1730,Alipurduar,Alluvial Soil,Rice
110,58,70,5.4,75.5,27.5,1970,1760,Alipurduar,Alluvial Soil,Rice
100,50,70,5.5,74,27,1900,1650,Alipurduar,Alluvial Soil,Rice
114,56,82,5.7,76.5,28.5,2040,1840,Alipurduar,Alluvial Soil,Rice
118,60,76,5.6,75,27,1980,1820,Alipurduar,Alluvial Soil,Rice
107,53,73,5.5,75.5,28,1920,1710,Alipurduar,Alluvial Soil,Rice
109,57,71,5.4,75,27.5,1960,1740,Alipurduar,Alluvial Soil,Rice
99,49,69,5.5,73.5,26.5,1910,1660,Alipurduar,Alluvial Soil,Rice
113,55,81,5.7,76,28,2050,1860,Alipurduar,Alluvial Soil,Rice
117,59,75,5.6,74.5,27.5,1990,1840,Alipurduar,Alluvial Soil,Rice
106,52,72,5.5,75.5,28,1910,1710,Alipurduar,Alluvial Soil,Rice
108,56,70,5.4,75,27.5,1950,1740,Alipurduar,Alluvial Soil,Rice
98,48,68,5.5,73.5,26.5,1890,1640,Alipurduar,Alluvial Soil,Rice
112,54,80,5.7,76,28,2030,1840,Alipurduar,Alluvial Soil,Rice
116,58,74,5.6,74.5,27.5,1970,1820,Alipurduar,Alluvial Soil,Rice
105,53,71,5.5,75,28,1920,1700,Alipurduar,Alluvial Soil,Rice
107,57,69,5.4,74.5,27.5,1960,1730,Alipurduar,Alluvial Soil,Rice
97,47,67,5.5,73,26.5,1900,1650,Alipurduar,Alluvial Soil,Rice
111,55,79,5.7,75.5,28,2040,1850,Alipurduar,Alluvial Soil,Rice
115,59,73,5.6,74,27,1980,1830,Alipurduar,Alluvial Soil,Rice
106,54,72,5.5,75.5,28,1920,1710,Alipurduar,Alluvial Soil,Rice
108,58,70,5.4,75,27.5,1960,1740,Alipurduar,Alluvial Soil,Rice
98,50,68,5.5,73.5,26.5,1900,1650,Alipurduar,Alluvial Soil,Rice
112,56,80,5.7,76,28,2040,1850,Alipurduar,Alluvial Soil,Rice
116,60,74,5.6,74.5,27.5,1980,1830,Alipurduar,Alluvial Soil,Rice
105,53,71,5.5,75,28,1920,1700,Alipurduar,Alluvial Soil,Rice
107,57,69,5.4,74.5,27.5,1960,1730,Alipurduar,Alluvial Soil,Rice
97,47,67,5.5,73,26.5,1900,1650,Alipurduar,Alluvial Soil,Rice
111,55,79,5.7,75.5,28,2040,1850,Alipurduar,Alluvial Soil,Rice
115,59,73,5.6,74,27,1980,1830,Alipurduar,Alluvial Soil,Rice
106,54,72,5.5,75.5,28,1920,1710,Alipurduar,Alluvial Soil,Rice
108,58,70,5.4,75,27.5,1960,1740,Alipurduar,Alluvial Soil,Rice
98,50,68,5.5,73.5,26.5,1900,1650,Alipurduar,Alluvial Soil,Rice
112,56,80,5.7,76,28,2040,1850,Alipurduar,Alluvial Soil,Rice
116,60,74,5.6,74.5,27.5,1980,1830,Alipurduar,Alluvial Soil,Rice
105,53,71,5.5,75,28,1920,1700,Alipurduar,Alluvial Soil,Rice
107,57,69,5.4,74.5,27.5,1960,1730,Alipurduar,Alluvial Soil,Rice
97,47,67,5.5,73,26.5,1900,1650,Alipurduar,Alluvial Soil,Rice
111,55,79,5.7,75.5,28,2040,1850,Alipurduar,Alluvial Soil,Rice
115,59,73,5.6,74,27,1980,1830,Alipurduar,Alluvial Soil,Rice
39,20,25,4.05,61.5,17.5,1210,1025,Siliguri,Red and Laterite Soil,Ginger
37,19.5,23,3.95,59,16.5,1190,975,Siliguri,Red and Laterite Soil,Ginger
41,20.5,27,4.15,62.5,18.5,1230,1075,Siliguri,Red and Laterite Soil,Ginger
44,22.5,29,4.25,63.5,19.5,1270,1125,Siliguri,Red and Laterite Soil,Ginger
37.5,19.25,23.5,4,60,17.25,1195,987.5,Siliguri,Red and Laterite Soil,Ginger
39.5,20.25,25.5,4.1,61.25,17.75,1215,1037.5,Siliguri,Red and Laterite Soil,Ginger
36.5,18.75,22.5,3.95,58.5,16.25,1185,962.5,Siliguri,Red and Laterite Soil,Ginger
40.5,20.75,26.5,4.15,62.75,18.75,1225,1075,Siliguri,Red and Laterite Soil,Ginger
43.5,22.75,28.5,4.25,63.75,19.75,1265,1125,Siliguri,Red and Laterite Soil,Ginger
38,19,24,4,60,17,1200,1000,Siliguri,Red and Laterite Soil,Ginger
40,20,26,4.1,61,18,1220,1050,Siliguri,Red and Laterite Soil,Ginger
36,18,22,3.9,58,16,1180,950,Siliguri,Red and Laterite Soil,Ginger
42,21,28,4.2,62,19,1240,1100,Siliguri,Red and Laterite Soil,Ginger
45,23,30,4.3,64,20,1280,1150,Siliguri,Red and Laterite Soil,Ginger
38.5,19.5,24.5,4.05,60.5,17.5,1205,1025,Siliguri,Red and Laterite Soil,Ginger
39,19.75,24.5,4.05,60.5,17.25,1202.5,1012.5,Siliguri,Red and Laterite Soil,Ginger
38,19.25,24.5,4.05,60.5,17.25,1202.5,1012.5,Siliguri,Red and Laterite Soil,Ginger
37,18.75,23.5,3.95,59,16.75,1190,987.5,Siliguri,Red and Laterite Soil,Ginger
37.5,19,23.5,3.95,59,16.75,1190,987.5,Siliguri,Red and Laterite Soil,Ginger
36.5,18.5,22.5,3.95,58.5,16.75,1185,962.5,Siliguri,Red and Laterite Soil,Ginger
42.5,21.25,28.5,4.2,62.5,18.75,1242.5,1100,Siliguri,Red and Laterite Soil,Ginger
41.5,20.75,27.5,4.15,61.75,18.25,1227.5,1075,Siliguri,Red and Laterite Soil,Ginger
41,20.5,27,4.1,61,18.25,1222.5,1075,Siliguri,Red and Laterite Soil,Ginger
43,21.5,28.5,4.2,62.5,18.75,1242.5,1100,Siliguri,Red and Laterite Soil,Ginger
44.5,22.75,29.5,4.25,63.5,19.75,1272.5,1125,Siliguri,Red and Laterite Soil,Ginger
44,22.5,29,4.25,63,19.5,1267.5,1125,Siliguri,Red and Laterite Soil,Ginger
45.5,23.25,30.5,4.3,64.5,20.25,1285,1150,Siliguri,Red and Laterite Soil,Ginger
45,23,30,4.3,64,20,1282.5,1150,Siliguri,Red and Laterite Soil,Ginger
44,22.5,29,4.25,63,19.5,1267.5,1125,Siliguri,Red and Laterite Soil,Ginger
45.5,23.25,30.5,4.3,64.5,20.25,1285,1150,Siliguri,Red and Laterite Soil,Ginger
39,20,25,4.05,61.5,17.5,1210,1025,Siliguri,Red and Laterite Soil,Ginger
41,20.5,27,4.15,62.5,18.5,1230,1075,Siliguri,Red and Laterite Soil,Ginger
44,22.5,29,4.25,63.5,19.5,1270,1125,Siliguri,Red and Laterite Soil,Ginger
37.5,19.25,23.5,4,60,17.25,1195,987.5,Siliguri,Red and Laterite Soil,Ginger
39.5,20.25,25.5,4.1,61.25,17.75,1215,1037.5,Siliguri,Red and Laterite Soil,Ginger
40.5,20.75,26.5,4.15,62.75,18.75,1225,1075,Siliguri,Red and Laterite Soil,Ginger
43.5,22.75,28.5,4.25,63.75,19.75,1265,1125,Siliguri,Red and Laterite Soil,Ginger
38,19,24,4,60,17,1200,1000,Siliguri,Red and Laterite Soil,Ginger
40,20,26,4.1,61,18,1220,1050,Siliguri,Red and Laterite Soil,Ginger
42,21,28,4.2,62,19,1240,1100,Siliguri,Red and Laterite Soil,Ginger
45,23,30,4.3,64,20,1280,1150,Siliguri,Red and Laterite Soil,Ginger
43,22,29,4.25,63,18.5,1325,1125,Siliguri,Red and Laterite Soil,Turmeric
44,23,30,4.3,64,18.75,1325,1137.5,Siliguri,Red and Laterite Soil,Turmeric
41,21,27,4.15,61.5,17.5,1290,1075,Siliguri,Red and Laterite Soil,Turmeric
49,24.5,32.5,4.55,65.5,20.25,1412.5,1212.5,Siliguri,Red and Laterite Soil,Turmeric
47,22.5,30.5,4.45,63.5,19.25,1390,1162.5,Siliguri,Red and Laterite Soil,Turmeric
43.5,22.25,29.5,4.25,63.25,18.75,1312.5,1125,Siliguri,Red and Laterite Soil,Turmeric
44.5,23.25,30.5,4.3,64.25,19.25,1337.5,1137.5,Siliguri,Red and Laterite Soil,Turmeric
41.5,21.25,27.5,4.15,61.75,17.75,1297.5,1075,Siliguri,Red and Laterite Soil,Turmeric
49.5,25,33,4.55,65.75,20.25,1412.5,1225,Siliguri,Red and Laterite Soil,Turmeric
47.5,23,31,4.45,63.75,19.25,1397.5,1162.5,Siliguri,Red and Laterite Soil,Turmeric
42,21,28,4.2,62,18,1300,1100,Siliguri,Red and Laterite Soil,Turmeric
45,23,30,4.3,64,19,1350,1150,Siliguri,Red and Laterite Soil,Turmeric
40,20,26,4.1,60,17,1280,1050,Siliguri,Red and Laterite Soil,Turmeric
48,24,32,4.5,65,20,1400,1200,Siliguri,Red and Laterite Soil,Turmeric
46,22,30,4.4,63,19,1380,1150,Siliguri,Red and Laterite Soil,Turmeric
42.5,21.25,28.5,4.25,62.5,18.125,1306.25,1106.25,Siliguri,Red and Laterite Soil,Turmeric
44.5,22.75,30.5,4.3,64.25,18.875,1328.75,1131.25,Siliguri,Red and Laterite Soil,Turmeric
41.5,21.25,27.5,4.15,61.75,17.625,1293.75,1075,Siliguri,Red and Laterite Soil,Turmeric
49.5,25,33,4.55,65.75,20.125,1415.625,1225,Siliguri,Red and Laterite Soil,Turmeric
47.5,23.75,31,4.45,64,19.125,1403.125,1162.5,Siliguri,Red and Laterite Soil,Turmeric
43.5,22.25,29.5,4.25,63.25,18.75,1318.75,1125,Siliguri,Red and Laterite Soil,Turmeric
45.5,23.25,30.5,4.3,64.25,19.25,1353.125,1150,Siliguri,Red and Laterite Soil,Turmeric
42,21,28,4.2,62,18,1300,1100,Siliguri,Red and Laterite Soil,Turmeric
45,23,30,4.3,64,19,1350,1150,Siliguri,Red and Laterite Soil,Turmeric
40,20,26,4.1,60,17,1280,1050,Siliguri,Red and Laterite Soil,Turmeric
48,24,32,4.5,65,20,1400,1200,Siliguri,Red and Laterite Soil,Turmeric
46,22,30,4.4,63,19,1380,1150,Siliguri,Red and Laterite Soil,Turmeric
42.5,21.25,28.5,4.25,62.5,18.125,1306.25,1106.25,Siliguri,Red and Laterite Soil,Turmeric
