N (kg/ha),P (kg/ha),K (kg/ha),pH,Humidity (%),Temperature (°C),Rainfall (mm),Crop Yield (kg/ha),District,Soil Type,Crop Name
96,48,66,6.4,75,27,1805,1405,Jhargram,Laterite Soil,Rubber
90,45,60,5.9,79,25,1605,1205,Jhargram,Laterite Soil,Rubber
88,44,58,5.8,80,24,1505,1155,Jhargram,Laterite Soil,Rubber
92,46,62,6.2,76,26,1705,1305,Jhargram,Laterite Soil,Rubber
85,42,55,5.6,82,23,1405,1105,Jhargram,Laterite Soil,Rubber
95,48,65,6.3,75,27,1805,1405,Jhargram,Laterite Soil,Rubber
91,45,61,6,79,25,1610,1210,Jhargram,Laterite Soil,Rubber
89,44,59,5.9,80,24,1510,1160,Jhargram,Laterite Soil,Rubber
93,46,63,6.3,76,26,1710,1310,Jhargram,Laterite Soil,Rubber
86,42,56,5.7,82,23,1410,1110,Jhargram,Laterite Soil,Rubber
96,48,66,6.4,75,27,1810,1410,Jhargram,Laterite Soil,Rubber
90,45,60,5.9,79,25,1610,1210,Jhargram,Laterite Soil,Rubber
88,44,58,5.8,80,24,1510,1160,Jhargram,Laterite Soil,Rubber
92,46,62,6.2,76,26,1710,1310,Jhargram,Laterite Soil,Rubber
85,42,55,5.6,82,23,1410,1110,Jhargram,Laterite Soil,Rubber
95,48,65,6.3,75,27,1810,1410,Jhargram,Laterite Soil,Rubber
91,45,61,6,79,25,1615,1215,Jhargram,Laterite Soil,Rubber
89,44,59,5.9,80,24,1515,1165,Jhargram,Laterite Soil,Rubber
93,46,63,6.3,76,26,1715,1315,Jhargram,Laterite Soil,Rubber
86,42,56,5.7,82,23,1415,1115,Jhargram,Laterite Soil,Rubber
96,48,66,6.4,75,27,1815,1415,Jhargram,Laterite Soil,Rubber
94,47,64,6.1,79,25,1608,1208,Jhargram,Laterite Soil,Rubber
92,46,62,6,80,24,1508,1158,Jhargram,Laterite Soil,Rubber
96,48,66,6.2,76,26,1708,1308,Jhargram,Laterite Soil,Rubber
89,44,60,5.8,82,23,1408,1108,Jhargram,Laterite Soil,Rubber
98,49,67,6.3,75,27,1808,1408,Jhargram,Laterite Soil,Rubber
95,47,65,6.2,79,25,1610,1210,Jhargram,Laterite Soil,Rubber
93,46,63,6.1,80,24,1510,1160,Jhargram,Laterite Soil,Rubber
97,48,66,6.3,76,26,1710,1310,Jhargram,Laterite Soil,Rubber
90,44,61,5.9,82,23,1410,1110,Jhargram,Laterite Soil,Rubber
99,50,68,6.4,75,27,1810,1410,Jhargram,Laterite Soil,Rubber
51,25,36,6,79,25,1605,705,Jhargram,Laterite Soil,Cashew
49,24,33,5.9,80,24,1505,655,Jhargram,Laterite Soil,Cashew
53,26,39,6.3,76,26,1705,755,Jhargram,Laterite Soil,Cashew
46,22,31,5.7,82,23,1405,605,Jhargram,Laterite Soil,Cashew
56,28,41,6.4,75,27,1805,805,Jhargram,Laterite Soil,Cashew
50,25,35,5.9,79,25,1605,705,Jhargram,Laterite Soil,Cashew
48,24,32,5.8,80,24,1505,655,Jhargram,Laterite Soil,Cashew
52,26,38,6.2,76,26,1705,755,Jhargram,Laterite Soil,Cashew
45,22,30,5.6,82,23,1405,605,Jhargram,Laterite Soil,Cashew
55,28,40,6.3,75,27,1805,805,Jhargram,Laterite Soil,Cashew
51,25,36,6,79,25,1610,710,Jhargram,Laterite Soil,Cashew
49,24,33,5.9,80,24,1510,660,Jhargram,Laterite Soil,Cashew
53,26,39,6.3,76,26,1710,760,Jhargram,Laterite Soil,Cashew
46,22,31,5.7,82,23,1410,610,Jhargram,Laterite Soil,Cashew
56,28,41,6.4,75,27,1810,810,Jhargram,Laterite Soil,Cashew
54,27,37,6.1,79,25,1608,708,Jhargram,Laterite Soil,Cashew
52,26,38,6,80,24,1508,658,Jhargram,Laterite Soil,Cashew
56,28,41,6.4,76,26,1708,758,Jhargram,Laterite Soil,Cashew
47,23,32,5.8,82,23,1408,608,Jhargram,Laterite Soil,Cashew
57,29,42,6.5,75,27,1808,808,Jhargram,Laterite Soil,Cashew
55,27,38,6.2,79,25,1610,710,Jhargram,Laterite Soil,Cashew
53,26,39,6.1,80,24,1510,660,Jhargram,Laterite Soil,Cashew
57,28,43,6.5,76,26,1710,760,Jhargram,Laterite Soil,Cashew
48,23,33,5.9,82,23,1410,610,Jhargram,Laterite Soil,Cashew
58,30,44,6.6,75,27,1810,810,Jhargram,Laterite Soil,Cashew
56,28,39,6.3,79,25,1612,712,Jhargram,Laterite Soil,Cashew
54,27,40,6.2,80,24,1512,662,Jhargram,Laterite Soil,Cashew
58,29,45,6.6,76,26,1712,762,Jhargram,Laterite Soil,Cashew
49,23,34,5.8,82,23,1412,612,Jhargram,Laterite Soil,Cashew
59,31,46,6.7,75,27,1812,812,Jhargram,Laterite Soil,Cashew
21,10,15,6,78,25,1605,305,Jhargram,Laterite Soil,Pulses (Green Gram)
19,9,14,5.9,80,24,1505,280,Jhargram,Laterite Soil,Pulses (Green Gram)
23,11,16,6.3,76,26,1705,330,Jhargram,Laterite Soil,Pulses (Green Gram)
17,8,12,5.7,82,23,1405,255,Jhargram,Laterite Soil,Pulses (Green Gram)
26,12,18,6.4,75,27,1805,355,Jhargram,Laterite Soil,Pulses (Green Gram)
20,10,15,6,78,25,1610,310,Jhargram,Laterite Soil,Pulses (Green Gram)
18,9,14,5.9,80,24,1510,285,Jhargram,Laterite Soil,Pulses (Green Gram)
22,11,16,6.3,76,26,1710,335,Jhargram,Laterite Soil,Pulses (Green Gram)
16,8,12,5.7,82,23,1410,260,Jhargram,Laterite Soil,Pulses (Green Gram)
25,12,18,6.4,75,27,1810,360,Jhargram,Laterite Soil,Pulses (Green Gram)
21,10,15,6,78,25,1615,315,Jhargram,Laterite Soil,Pulses (Green Gram)
19,9,14,5.9,80,24,1515,290,Jhargram,Laterite Soil,Pulses (Green Gram)
23,11,16,6.3,76,26,1715,340,Jhargram,Laterite Soil,Pulses (Green Gram)
17,8,12,5.7,82,23,1415,265,Jhargram,Laterite Soil,Pulses (Green Gram)
26,12,18,6.4,75,27,1815,365,Jhargram,Laterite Soil,Pulses (Green Gram)
22,10,16,6.1,78,25,1612,312,Jhargram,Laterite Soil,Pulses (Green Gram)
20,9,15,6,80,24,1512,287,Jhargram,Laterite Soil,Pulses (Green Gram)
24,11,17,6.4,76,26,1712,337,Jhargram,Laterite Soil,Pulses (Green Gram)
18,8,13,5.8,82,23,1412,262,Jhargram,Laterite Soil,Pulses (Green Gram)
27,13,19,6.5,75,27,1812,367,Jhargram,Laterite Soil,Pulses (Green Gram)
23,10,16,6.2,78,25,1614,314,Jhargram,Laterite Soil,Pulses (Green Gram)
21,9,15,6.1,80,24,1514,289,Jhargram,Laterite Soil,Pulses (Green Gram)
25,11,17,6.5,76,26,1714,339,Jhargram,Laterite Soil,Pulses (Green Gram)
19,8,13,5.9,82,23,1414,264,Jhargram,Laterite Soil,Pulses (Green Gram)
28,13,19,6.6,75,27,1814,369,Jhargram,Laterite Soil,Pulses (Green Gram)
36,16,26,6,79,25,1605,605,Jhargram,Laterite Soil,Pearl Millet (Bajra)
33,15,23,5.9,80,24,1505,555,Jhargram,Laterite Soil,Pearl Millet (Bajra)
39,17,29,6.3,76,26,1705,655,Jhargram,Laterite Soil,Pearl Millet (Bajra)
31,14,21,5.7,82,23,1405,505,Jhargram,Laterite Soil,Pearl Millet (Bajra)
41,18,31,6.4,75,27,1805,705,Jhargram,Laterite Soil,Pearl Millet (Bajra)
35,15,25,6,79,25,1610,610,Jhargram,Laterite Soil,Pearl Millet (Bajra)
32,14,22,5.9,80,24,1510,560,Jhargram,Laterite Soil,Pearl Millet (Bajra)
38,17,28,6.3,76,26,1710,660,Jhargram,Laterite Soil,Pearl Millet (Bajra)
30,13,20,5.7,82,23,1410,510,Jhargram,Laterite Soil,Pearl Millet (Bajra)
40,18,30,6.4,75,27,1810,710,Jhargram,Laterite Soil,Pearl Millet (Bajra)
36,16,26,6,79,25,1615,615,Jhargram,Laterite Soil,Pearl Millet (Bajra)
33,15,23,5.9,80,24,1515,565,Jhargram,Laterite Soil,Pearl Millet (Bajra)
39,17,29,6.3,76,26,1715,665,Jhargram,Laterite Soil,Pearl Millet (Bajra)
31,14,21,5.7,82,23,1415,515,Jhargram,Laterite Soil,Pearl Millet (Bajra)
41,18,31,6.4,75,27,1815,715,Jhargram,Laterite Soil,Pearl Millet (Bajra)
37,16,27,6.1,79,25,1612,612,Jhargram,Laterite Soil,Pearl Millet (Bajra)
34,15,24,6,80,24,1512,562,Jhargram,Laterite Soil,Pearl Millet (Bajra)
40,17,30,6.4,76,26,1712,662,Jhargram,Laterite Soil,Pearl Millet (Bajra)
32,14,22,5.8,82,23,1412,512,Jhargram,Laterite Soil,Pearl Millet (Bajra)
42,18,32,6.5,75,27,1812,712,Jhargram,Laterite Soil,Pearl Millet (Bajra)
38,16,28,6.2,79,25,1614,614,Jhargram,Laterite Soil,Pearl Millet (Bajra)
35,15,25,6.1,80,24,1514,564,Jhargram,Laterite Soil,Pearl Millet (Bajra)
41,17,31,6.5,76,26,1714,664,Jhargram,Laterite Soil,Pearl Millet (Bajra)
33,14,23,5.9,82,23,1414,514,Jhargram,Laterite Soil,Pearl Millet (Bajra)
43,18,33,6.6,75,27,1814,714,Jhargram,Laterite Soil,Pearl Millet (Bajra)
39,16,29,6.3,79,25,1616,616,Jhargram,Laterite Soil,Pearl Millet (Bajra)
36,15,26,6.2,80,24,1516,566,Jhargram,Laterite Soil,Pearl Millet (Bajra)
42,17,32,6.6,76,26,1716,666,Jhargram,Laterite Soil,Pearl Millet (Bajra)
34,14,24,6,82,23,1416,516,Jhargram,Laterite Soil,Pearl Millet (Bajra)
44,18,34,6.7,75,27,1816,716,Jhargram,Laterite Soil,Pearl Millet (Bajra)
41,20,31,6,78,25,1605,805,Jhargram,Laterite Soil,Sorghum (Jowar)
39,19,29,5.9,80,24,1505,755,Jhargram,Laterite Soil,Sorghum (Jowar)
43,21,33,6.4,76,26,1705,905,Jhargram,Laterite Soil,Sorghum (Jowar)
37,18,27,5.7,82,23,1405,705,Jhargram,Laterite Soil,Sorghum (Jowar)
46,23,36,6.4,75,27,1805,955,Jhargram,Laterite Soil,Sorghum (Jowar)
40,20,30,6,78,25,1610,810,Jhargram,Laterite Soil,Sorghum (Jowar)
38,19,28,5.9,80,24,1510,760,Jhargram,Laterite Soil,Sorghum (Jowar)
42,21,32,6.4,76,26,1710,910,Jhargram,Laterite Soil,Sorghum (Jowar)
36,18,26,5.7,82,23,1410,710,Jhargram,Laterite Soil,Sorghum (Jowar)
47,23,37,6.5,75,27,1810,960,Jhargram,Laterite Soil,Sorghum (Jowar)
41,20,31,6,78,25,1615,815,Jhargram,Laterite Soil,Sorghum (Jowar)
39,19,29,5.9,80,24,1515,765,Jhargram,Laterite Soil,Sorghum (Jowar)
43,21,33,6.5,76,26,1715,915,Jhargram,Laterite Soil,Sorghum (Jowar)
37,18,27,5.7,82,23,1415,715,Jhargram,Laterite Soil,Sorghum (Jowar)
46,23,36,6.5,75,27,1815,965,Jhargram,Laterite Soil,Sorghum (Jowar)
44,22,34,6.1,78,25,1612,812,Jhargram,Laterite Soil,Sorghum (Jowar)
42,21,32,6,80,24,1512,762,Jhargram,Laterite Soil,Sorghum (Jowar)
46,23,36,6.5,76,26,1712,912,Jhargram,Laterite Soil,Sorghum (Jowar)
40,19,29,5.8,82,23,1412,712,Jhargram,Laterite Soil,Sorghum (Jowar)
49,24,38,6.6,75,27,1812,962,Jhargram,Laterite Soil,Sorghum (Jowar)
45,22,35,6.2,78,25,1614,815,Jhargram,Laterite Soil,Sorghum (Jowar)
43,21,33,6.1,80,24,1514,765,Jhargram,Laterite Soil,Sorghum (Jowar)
47,24,37,6.6,76,26,1714,915,Jhargram,Laterite Soil,Sorghum (Jowar)
41,20,30,5.9,82,23,1414,715,Jhargram,Laterite Soil,Sorghum (Jowar)
50,25,39,6.7,75,27,1814,965,Jhargram,Laterite Soil,Sorghum (Jowar)
46,23,36,6.3,78,25,1616,818,Jhargram,Laterite Soil,Sorghum (Jowar)
44,22,34,6.2,80,24,1516,768,Jhargram,Laterite Soil,Sorghum (Jowar)
48,24,38,6.7,76,26,1716,918,Jhargram,Laterite Soil,Sorghum (Jowar)
42,21,32,6.1,82,23,1416,718,Jhargram,Laterite Soil,Sorghum (Jowar)
47,24,37,6.4,78,25,1618,820,Jhargram,Laterite Soil,Sorghum (Jowar)
45,23,35,6.3,80,24,1518,770,Jhargram,Laterite Soil,Sorghum (Jowar)
49,25,39,6.8,76,26,1718,920,Jhargram,Laterite Soil,Sorghum (Jowar)
43,22,33,6,82,23,1418,720,Jhargram,Laterite Soil,Sorghum (Jowar)
48,24,38,6.5,78,25,1620,822,Jhargram,Laterite Soil,Sorghum (Jowar)
46,23,36,6.4,80,24,1520,772,Jhargram,Laterite Soil,Sorghum (Jowar)
50,25,40,6.9,76,26,1720,922,Jhargram,Laterite Soil,Sorghum (Jowar)
44,22,34,6.1,82,23,1420,722,Jhargram,Laterite Soil,Sorghum (Jowar)
49,25,39,6.6,78,25,1622,824,Jhargram,Laterite Soil,Sorghum (Jowar)
47,24,37,6.5,80,24,1522,774,Jhargram,Laterite Soil,Sorghum (Jowar)
51,26,41,7,76,26,1722,924,Jhargram,Laterite Soil,Sorghum (Jowar)
45,23,35,6.2,82,23,1422,724,Jhargram,Laterite Soil,Sorghum (Jowar)
53,27,39,6,79,25,1605,1055,Jhargram,Laterite Soil,Maize
51,26,37,5.9,80,24,1505,955,Jhargram,Laterite Soil,Maize
59,31,46,6.3,76,26,1705,1105,Jhargram,Laterite Soil,Maize
48,24,34,5.7,82,23,1405,905,Jhargram,Laterite Soil,Maize
61,32,51,6.4,75,27,1805,1205,Jhargram,Laterite Soil,Maize
54,28,41,6.1,79,25,1610,1060,Jhargram,Laterite Soil,Maize
52,27,38,6,80,24,1510,960,Jhargram,Laterite Soil,Maize
60,31,47,6.4,76,26,1710,1110,Jhargram,Laterite Soil,Maize
49,25,36,5.8,82,23,1410,910,Jhargram,Laterite Soil,Maize
62,33,52,6.5,75,27,1810,1210,Jhargram,Laterite Soil,Maize
56,29,42,6.2,79,25,1615,1065,Jhargram,Laterite Soil,Maize
53,28,39,6.1,80,24,1515,965,Jhargram,Laterite Soil,Maize
61,32,48,6.5,76,26,1715,1115,Jhargram,Laterite Soil,Maize
50,26,37,5.9,82,23,1415,915,Jhargram,Laterite Soil,Maize
63,33,53,6.6,75,27,1815,1215,Jhargram,Laterite Soil,Maize
57,30,43,6.3,79,25,1620,1070,Jhargram,Laterite Soil,Maize
54,29,40,6.2,80,24,1520,970,Jhargram,Laterite Soil,Maize
62,33,49,6.6,76,26,1720,1120,Jhargram,Laterite Soil,Maize
51,27,38,5.9,82,23,1420,920,Jhargram,Laterite Soil,Maize
64,34,54,6.7,75,27,1820,1220,Jhargram,Laterite Soil,Maize
58,31,44,6.4,79,25,1625,1075,Jhargram,Laterite Soil,Maize
55,30,41,6.3,80,24,1525,975,Jhargram,Laterite Soil,Maize
63,34,50,6.7,76,26,1725,1125,Jhargram,Laterite Soil,Maize
52,28,39,6,82,23,1425,925,Jhargram,Laterite Soil,Maize
65,35,55,6.8,75,27,1825,1225,Jhargram,Laterite Soil,Maize
59,32,45,6.5,79,25,1630,1080,Jhargram,Laterite Soil,Maize
56,31,42,6.4,80,24,1530,980,Jhargram,Laterite Soil,Maize
64,35,51,6.8,76,26,1730,1130,Jhargram,Laterite Soil,Maize
53,29,40,6.1,82,23,1430,930,Jhargram,Laterite Soil,Maize
66,36,56,6.9,75,27,1830,1230,Jhargram,Laterite Soil,Maize
60,33,46,6.6,79,25,1635,1085,Jhargram,Laterite Soil,Maize
57,32,43,6.5,80,24,1535,985,Jhargram,Laterite Soil,Maize
65,36,52,6.9,76,26,1735,1135,Jhargram,Laterite Soil,Maize
54,30,41,6.2,82,23,1435,935,Jhargram,Laterite Soil,Maize
67,37,57,7,75,27,1835,1235,Jhargram,Laterite Soil,Maize
61,34,47,6.7,79,25,1640,1090,Jhargram,Laterite Soil,Maize
58,33,44,6.6,80,24,1540,990,Jhargram,Laterite Soil,Maize
66,37,53,7,76,26,1740,1140,Jhargram,Laterite Soil,Maize
55,31,42,6.3,82,23,1440,940,Jhargram,Laterite Soil,Maize
68,38,58,7.1,75,27,1840,1240,Jhargram,Laterite Soil,Maize
62,35,48,6.8,79,25,1645,1095,Jhargram,Laterite Soil,Maize
59,34,45,6.7,80,24,1545,995,Jhargram,Laterite Soil,Maize
67,38,54,7.1,76,26,1745,1145,Jhargram,Laterite Soil,Maize
56,32,43,6.4,82,23,1445,945,Jhargram,Laterite Soil,Maize
69,39,59,7.2,75,27,1845,1245,Jhargram,Laterite Soil,Maize
63,36,49,6.9,79,25,1650,1100,Jhargram,Laterite Soil,Maize
60,35,46,6.8,80,24,1550,1000,Jhargram,Laterite Soil,Maize
68,39,55,7.2,76,26,1750,1150,Jhargram,Laterite Soil,Maize
57,33,44,6.5,82,23,1450,950,Jhargram,Laterite Soil,Maize
70,40,60,7.3,75,27,1850,1250,Jhargram,Laterite Soil,Maize
46,23,31,6,79,25,1605,805,Jhargram,Laterite Soil,Rice
43,21,29,5.9,80,24,1505,755,Jhargram,Laterite Soil,Rice
49,25,33,6.3,76,26,1705,905,Jhargram,Laterite Soil,Rice
41,19,27,5.7,82,23,1405,705,Jhargram,Laterite Soil,Rice
51,27,36,6.4,75,27,1805,955,Jhargram,Laterite Soil,Rice
47,24,32,6.1,79,25,1610,810,Jhargram,Laterite Soil,Rice
44,22,30,6,80,24,1510,760,Jhargram,Laterite Soil,Rice
50,26,34,6.4,76,26,1710,910,Jhargram,Laterite Soil,Rice
42,20,28,5.8,82,23,1410,710,Jhargram,Laterite Soil,Rice
52,28,37,6.5,75,27,1810,960,Jhargram,Laterite Soil,Rice
48,25,33,6.2,79,25,1615,815,Jhargram,Laterite Soil,Rice
45,23,31,6.1,80,24,1515,765,Jhargram,Laterite Soil,Rice
51,27,35,6.5,76,26,1715,915,Jhargram,Laterite Soil,Rice
43,21,29,5.9,82,23,1415,715,Jhargram,Laterite Soil,Rice
53,29,38,6.6,75,27,1815,965,Jhargram,Laterite Soil,Rice
49,26,34,6.3,79,25,1620,820,Jhargram,Laterite Soil,Rice
46,24,32,6.2,80,24,1520,770,Jhargram,Laterite Soil,Rice
52,28,36,6.6,76,26,1720,920,Jhargram,Laterite Soil,Rice
44,22,30,6,82,23,1420,720,Jhargram,Laterite Soil,Rice
54,30,39,6.7,75,27,1820,970,Jhargram,Laterite Soil,Rice
50,27,35,6.4,79,25,1625,825,Jhargram,Laterite Soil,Rice
47,25,33,6.3,80,24,1525,775,Jhargram,Laterite Soil,Rice
53,29,37,6.7,76,26,1725,925,Jhargram,Laterite Soil,Rice
45,23,31,6.2,82,23,1425,725,Jhargram,Laterite Soil,Rice
55,31,40,6.8,75,27,1825,975,Jhargram,Laterite Soil,Rice
51,28,36,6.5,79,25,1630,830,Jhargram,Laterite Soil,Rice
48,26,34,6.4,80,24,1530,780,Jhargram,Laterite Soil,Rice
54,30,38,6.8,76,26,1730,930,Jhargram,Laterite Soil,Rice
46,24,32,6.1,82,23,1430,730,Jhargram,Laterite Soil,Rice
56,32,41,6.9,75,27,1830,980,Jhargram,Laterite Soil,Rice
52,29,37,6.6,79,25,1635,835,Jhargram,Laterite Soil,Rice
49,27,35,6.5,80,24,1535,785,Jhargram,Laterite Soil,Rice
55,31,39,6.9,76,26,1735,935,Jhargram,Laterite Soil,Rice
47,25,33,6.2,82,23,1435,735,Jhargram,Laterite Soil,Rice
57,33,42,7,75,27,1835,985,Jhargram,Laterite Soil,Rice
53,30,38,6.7,79,25,1640,840,Jhargram,Laterite Soil,Rice
50,28,36,6.6,80,24,1540,790,Jhargram,Laterite Soil,Rice
56,32,40,7,76,26,1740,940,Jhargram,Laterite Soil,Rice
48,26,34,6.3,82,23,1440,740,Jhargram,Laterite Soil,Rice
58,34,43,7.1,75,27,1840,990,Jhargram,Laterite Soil,Rice
54,31,39,6.8,79,25,1645,845,Jhargram,Laterite Soil,Rice
51,29,37,6.7,80,24,1545,795,Jhargram,Laterite Soil,Rice
57,33,41,7.1,76,26,1745,945,Jhargram,Laterite Soil,Rice
49,27,35,6.4,82,23,1445,745,Jhargram,Laterite Soil,Rice
59,35,44,7.2,75,27,1845,995,Jhargram,Laterite Soil,Rice
60,36,45,7.3,75,27,1850,1000,Jhargram,Laterite Soil,Rice
61,37,46,7.4,75,27,1855,1005,Jhargram,Laterite Soil,Rice
62,38,47,7.5,75,27,1860,1010,Jhargram,Laterite Soil,Rice
63,39,48,7.6,75,27,1865,1015,Jhargram,Laterite Soil,Rice
64,40,49,7.7,75,27,1870,1020,Jhargram,Laterite Soil,Rice
65,41,50,7.8,75,27,1875,1025,Jhargram,Laterite Soil,Rice
66,42,51,7.9,75,27,1880,1030,Jhargram,Laterite Soil,Rice
67,43,52,8,75,27,1885,1035,Jhargram,Laterite Soil,Rice
68,44,53,8.1,75,27,1890,1040,Jhargram,Laterite Soil,Rice
69,45,54,8.2,75,27,1895,1045,Jhargram,Laterite Soil,Rice
70,46,55,8.3,75,27,1900,1050,Jhargram,Laterite Soil,Rice
71,47,56,8.4,75,27,1905,1055,Jhargram,Laterite Soil,Rice
72,48,57,8.5,75,27,1910,1060,Jhargram,Laterite Soil,Rice
73,49,58,8.6,75,27,1915,1065,Jhargram,Laterite Soil,Rice
74,50,59,8.7,75,27,1920,1070,Jhargram,Laterite Soil,Rice
75,51,60,8.8,75,27,1925,1075,Jhargram,Laterite Soil,Rice
76,52,61,8.9,75,27,1930,1080,Jhargram,Laterite Soil,Rice
77,53,62,9,75,27,1935,1085,Jhargram,Laterite Soil,Rice
78,54,63,9.1,75,27,1940,1090,Jhargram,Laterite Soil,Rice
79,55,64,9.2,75,27,1945,1095,Jhargram,Laterite Soil,Rice
80,56,65,9.3,75,27,1950,1100,Jhargram,Laterite Soil,Rice
81,57,66,9.4,75,27,1955,1105,Jhargram,Laterite Soil,Rice
82,58,67,9.5,75,27,1960,1110,Jhargram,Laterite Soil,Rice
83,59,68,9.6,75,27,1965,1115,Jhargram,Laterite Soil,Rice
84,60,69,9.7,75,27,1970,1120,Jhargram,Laterite Soil,Rice
85,61,70,9.8,75,27,1975,1125,Jhargram,Laterite Soil,Rice
86,62,71,9.9,75,27,1980,1130,Jhargram,Laterite Soil,Rice
87,63,72,10,75,27,1985,1135,Jhargram,Laterite Soil,Rice
88,64,73,10.1,75,27,1990,1140,Jhargram,Laterite Soil,Rice
89,65,74,10.2,75,27,1995,1145,Jhargram,Laterite Soil,Rice
90,66,75,10.3,75,27,2000,1150,Jhargram,Laterite Soil,Rice
116,62,82,5.6,83,26,1880,2150,Malda,Red & Laterite Soil,Rice
118,64,84,5.6,83,26,1880,2200,Malda,Red & Laterite Soil,Rice
120,66,86,5.6,83,26,1880,2250,Malda,Red & Laterite Soil,Rice
122,68,88,5.6,83,26,1880,2300,Malda,Red & Laterite Soil,Rice
124,70,90,5.6,83,26,1880,2350,Malda,Red & Laterite Soil,Rice
126,72,92,5.6,83,26,1880,2400,Malda,Red & Laterite Soil,Rice
128,74,94,5.6,83,26,1880,2450,Malda,Red & Laterite Soil,Rice
130,76,96,5.6,83,26,1880,2500,Malda,Red & Laterite Soil,Rice
132,78,98,5.6,83,26,1880,2550,Malda,Red & Laterite Soil,Rice
134,80,100,5.6,83,26,1880,2600,Malda,Red & Laterite Soil,Rice
136,82,102,5.6,83,26,1880,2650,Malda,Red & Laterite Soil,Rice
138,84,104,5.6,83,26,1880,2700,Malda,Red & Laterite Soil,Rice
140,86,106,5.6,83,26,1880,2750,Malda,Red & Laterite Soil,Rice
142,88,108,5.6,83,26,1880,2800,Malda,Red & Laterite Soil,Rice
144,90,110,5.6,83,26,1880,2850,Malda,Red & Laterite Soil,Rice
146,92,112,5.6,83,26,1880,2900,Malda,Red & Laterite Soil,Rice
148,94,114,5.6,83,26,1880,2950,Malda,Red & Laterite Soil,Rice
150,96,116,5.6,83,26,1880,3000,Malda,Red & Laterite Soil,Rice
152,98,118,5.6,83,26,1880,3050,Malda,Red & Laterite Soil,Rice
154,100,120,5.6,83,26,1880,3100,Malda,Red & Laterite Soil,Rice
156,102,122,5.6,83,26,1880,3150,Malda,Red & Laterite Soil,Rice
158,104,124,5.6,83,26,1880,3200,Malda,Red & Laterite Soil,Rice
160,106,126,5.6,83,26,1880,3250,Malda,Red & Laterite Soil,Rice
162,108,128,5.6,83,26,1880,3300,Malda,Red & Laterite Soil,Rice
164,110,130,5.6,83,26,1880,3350,Malda,Red & Laterite Soil,Rice
166,112,132,5.6,83,26,1880,3400,Malda,Red & Laterite Soil,Rice
168,114,134,5.6,83,26,1880,3450,Malda,Red & Laterite Soil,Rice
170,116,136,5.6,83,26,1880,3500,Malda,Red & Laterite Soil,Rice
172,118,138,5.6,83,26,1880,3550,Malda,Red & Laterite Soil,Rice
174,120,140,5.6,83,26,1880,3600,Malda,Red & Laterite Soil,Rice
176,122,142,5.6,83,26,1880,3650,Malda,Red & Laterite Soil,Rice
178,124,144,5.6,83,26,1880,3700,Malda,Red & Laterite Soil,Rice
180,126,146,5.6,83,26,1880,3750,Malda,Red & Laterite Soil,Rice
182,128,148,5.6,83,26,1880,3800,Malda,Red & Laterite Soil,Rice
184,130,150,5.6,83,26,1880,3850,Malda,Red & Laterite Soil,Rice
186,132,152,5.6,83,26,1880,3900,Malda,Red & Laterite Soil,Rice
188,134,154,5.6,83,26,1880,3950,Malda,Red & Laterite Soil,Rice
190,136,156,5.6,83,26,1880,4000,Malda,Red & Laterite Soil,Rice
192,138,158,5.6,83,26,1880,4050,Malda,Red & Laterite Soil,Rice
194,140,160,5.6,83,26,1880,4100,Malda,Red & Laterite Soil,Rice
196,142,162,5.6,83,26,1880,4150,Malda,Red & Laterite Soil,Rice
198,144,164,5.6,83,26,1880,4200,Malda,Red & Laterite Soil,Rice
200,146,166,5.6,83,26,1880,4250,Malda,Red & Laterite Soil,Rice
202,148,168,5.6,83,26,1880,4300,Malda,Red & Laterite Soil,Rice
204,150,170,5.6,83,26,1880,4350,Malda,Red & Laterite Soil,Rice
206,152,172,5.6,83,26,1880,4400,Malda,Red & Laterite Soil,Rice
208,154,174,5.6,83,26,1880,4450,Malda,Red & Laterite Soil,Rice
210,156,176,5.6,83,26,1880,4500,Malda,Red & Laterite Soil,Rice
212,158,178,5.6,83,26,1880,4550,Malda,Red & Laterite Soil,Rice
214,160,180,5.6,83,26,1880,4600,Malda,Red & Laterite Soil,Rice
216,162,182,5.6,83,26,1880,4650,Malda,Red & Laterite Soil,Rice
218,164,184,5.6,83,26,1880,4700,Malda,Red & Laterite Soil,Rice
220,166,186,5.6,83,26,1880,4750,Malda,Red & Laterite Soil,Rice
222,168,188,5.6,83,26,1880,4800,Malda,Red & Laterite Soil,Rice
224,170,190,5.6,83,26,1880,4850,Malda,Red & Laterite Soil,Rice
226,172,192,5.6,83,26,1880,4900,Malda,Red & Laterite Soil,Rice
228,174,194,5.6,83,26,1880,4950,Malda,Red & Laterite Soil,Rice
230,176,196,5.6,83,26,1880,5000,Malda,Red & Laterite Soil,Rice
232,178,198,5.6,83,26,1880,5050,Malda,Red & Laterite Soil,Rice
234,180,200,5.6,83,26,1880,5100,Malda,Red & Laterite Soil,Rice
236,182,202,5.6,83,26,1880,5150,Malda,Red & Laterite Soil,Rice
238,184,204,5.6,83,26,1880,5200,Malda,Red & Laterite Soil,Rice
240,186,206,5.6,83,26,1880,5250,Malda,Red & Laterite Soil,Rice
242,188,208,5.6,83,26,1880,5300,Malda,Red & Laterite Soil,Rice
244,190,210,5.6,83,26,1880,5350,Malda,Red & Laterite Soil,Rice
